i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz,target
-2.669333,-3.174948,-0.505444,2.922368,-1.081679,-1.839961,2.423216,1.204263,0.330335,-0.537083,-0.714205,-0.466532,-2.056634,-4.673404,0.760785,0
0.21864,-1.688105,-1.906772,0.734757,1.062727,-1.797437,1.007261,0.995823,1.065306,0.979645,0.703096,0.619036,0.039774,-1.470948,0.033191,1
0.331087,-1.562061,-1.893266,0.615016,1.1122,-1.727408,0.21966,-0.167617,-0.053636,0.272512,0.761251,0.665767,0.381185,-1.14817,-0.102207,0
-2.48286,-2.914658,-0.431777,2.698756,-1.025542,-1.673226,0.956736,-0.178494,-0.617649,-1.208841,-0.374905,-0.376974,0.151057,0.095938,0.395919,0
-0.31051,-1.761522,-1.450628,1.035999,0.569789,-1.606324,0.983916,0.742554,0.979678,0.973824,0.767006,0.747846,0.053739,-1.059234,-0.020902,1
0.612396,-1.118985,-1.73176,0.253468,1.17209,-1.425479,-1.096189,-1.013526,-1.11354,-0.501581,-0.803357,-0.252807,0.120588,0.134042,-0.207601,1
0.086591,-1.362892,-1.449469,0.637799,0.768031,-1.406187,-0.392769,-0.345123,-0.649851,-0.326865,-0.506606,-0.10829,0.099481,-1.24655,0.240533,1
-1.471777,-2.096129,-0.623855,1.783953,-0.424209,-1.359749,1.530919,2.229312,2.368989,2.265489,1.654062,1.004048,1.438434,-2.314076,0.783152,1
-1.446956,-1.897301,-0.450327,1.672129,-0.497771,-1.173837,-0.727588,-0.640857,-0.53629,-0.638738,-0.918114,-0.997662,-0.204589,0.439803,0.227105,0
0.743166,-0.744331,-1.487506,0.000306,1.114931,-1.115682,2.776896,-1.582292,-1.460872,2.247452,-1.369506,-4.808577,-4.760046,-4.046348,0.747071,1
-0.002296,-1.059799,-1.057522,0.530778,0.527729,-1.058655,0.154168,0.207136,0.511251,0.206624,-0.169937,0.194955,-0.160175,-0.589336,0.032501,0
-1.001482,-1.546203,-0.543986,1.273909,-0.228312,-1.045216,-0.345668,-0.428231,-0.425396,-0.448202,-0.485941,-0.272287,-0.194182,-0.72869,0.22207,1
0.141804,-0.887944,-1.030432,0.37299,0.586325,-0.959204,0.216279,0.292772,0.328946,0.402941,0.322486,0.443498,0.217705,-0.404073,0.313498,1
-0.305587,-1.107484,-0.801877,0.70656,0.248208,-0.954193,0.492668,0.199197,0.300644,0.037035,0.00515,-0.20084,0.179851,-0.223121,0.117729,0
1.257863,-0.311655,-1.569854,-0.472888,1.413866,-0.940954,-0.262545,0.406485,0.225506,-0.300179,0.444593,-0.952287,0.091494,-0.219994,-0.616806,0
-1.946017,-1.899466,0.046546,1.922747,-0.996565,-0.926192,-1.344481,-0.980496,-1.617428,-1.321605,-0.510794,-0.439806,-0.115761,0.023748,0.071602,0
-0.866768,-1.343685,-0.476176,1.105189,-0.195161,-0.909945,-0.311581,-0.522251,-0.945821,-0.536569,-0.503849,-0.552985,-0.240293,0.163289,-0.056319,1
0.48347,-0.578245,-1.061806,0.047321,0.772671,-0.820034,0.800621,0.923253,0.686185,0.880239,0.783048,0.734267,-0.287735,-0.663779,-0.150896,1
-0.193676,-0.8919,-0.697786,0.542986,0.251536,-0.794567,0.04336,-0.341023,-0.077224,-0.718809,-0.474935,-1.069847,-0.140923,-0.372452,0.831879,0
-0.380558,-0.95318,-0.572042,0.667063,0.095582,-0.762621,-0.071572,0.027608,-0.050038,-0.150476,-0.055788,-0.20658,-0.031087,-0.165372,0.049646,0
-0.381195,-0.931272,-0.550222,0.656315,0.084525,-0.740497,0.194481,-0.038248,0.11809,-0.080085,-0.100916,0.066113,0.091974,-0.56838,-0.005107,0
-1.799282,-1.586641,0.212638,1.692956,-1.006002,-0.686932,-0.733133,-0.712118,-0.730447,-0.684897,-0.521992,-0.733769,-0.186174,0.282491,0.401592,0
-0.698364,-1.007959,-0.30955,0.852915,-0.194427,-0.658989,0.017104,-0.197122,0.135617,0.375057,0.269651,-0.130116,-0.12757,-0.304262,0.086446,1
-0.895681,-1.091869,-0.196705,0.993806,-0.349448,-0.644278,0.173043,-0.45255,-0.276673,-0.398524,-0.169827,-0.410947,-0.050093,-0.080477,-0.095704,0
0.078146,-0.60065,-0.678829,0.260973,0.378715,-0.639756,-0.022807,-0.038687,-0.231134,-0.156487,-0.409227,-0.104929,-0.01942,-0.098854,0.228414,0
0.190449,-0.533532,-0.72406,0.171512,0.457482,-0.629084,0.392494,0.624671,0.593985,0.536082,0.632168,0.477141,-0.08124,-0.596779,0.102298,1
0.869035,-0.171407,-1.040947,-0.348479,0.955003,-0.606329,-0.404226,-0.127155,-0.188547,-0.158592,-0.340523,-0.310021,-0.001738,-0.519986,-0.339699,0
0.024853,-0.565427,-0.590279,0.27054,0.307322,-0.577851,0.439991,0.52061,0.51479,0.603534,0.53757,0.579615,-0.069869,-0.477418,0.108915,0
-0.341241,-0.737283,-0.39637,0.539167,0.027801,-0.567064,0.495264,0.351466,0.300457,0.082887,0.254998,0.030134,0.019605,-1.162357,-0.107022,1
0.198302,-0.446144,-0.645414,0.123456,0.421614,-0.545952,0.607464,0.28061,0.327083,0.346918,0.356281,0.241786,-0.023802,-0.40137,0.026483,0
-0.013578,-0.545984,-0.53203,0.280048,0.259674,-0.539208,0.032678,-0.008854,0.048283,0.04942,0.024734,-0.157538,-0.002412,-0.716099,-0.010625,1
0.433791,-0.319374,-0.753255,-0.056884,0.593563,-0.536289,0.488201,0.387493,0.21508,0.050093,0.292609,0.246932,0.050844,-0.287192,0.28775,0
-0.215392,-0.637428,-0.422151,0.4262,0.103173,-0.529504,-0.143284,0.525318,0.052739,-0.146683,0.287361,0.679804,0.159406,-0.172903,0.14989,0
0.273554,-0.303738,-0.577337,0.015473,0.425721,-0.440609,-0.035732,0.07763,0.107789,0.00087,0.1001,-0.196549,-0.145189,-0.940087,0.001675,0
-0.087486,-0.482111,-0.394804,0.284776,0.153982,-0.438701,0.227505,0.226897,0.233563,0.325692,0.501367,0.297969,-0.119199,-0.262439,0.05255,0
-0.184612,-0.527627,-0.342935,0.356048,0.079178,-0.435028,0.425964,0.075519,-0.389499,0.498916,0.087725,0.041959,-0.219455,-0.984441,-0.149745,0
-0.90968,-0.874441,0.035117,0.89176,-0.472324,-0.41916,0.097062,-0.341345,0.193385,0.127642,-0.057628,-0.168977,-0.031259,-0.520353,0.425193,0
0.066676,-0.372936,-0.439611,0.153139,0.253154,-0.4063,0.002532,0.00182,0.08156,-0.007677,0.154042,0.070653,-0.073775,-0.526164,-0.41549,0
0.206277,-0.30141,-0.507546,0.047511,0.357203,-0.404747,0.178372,0.130272,0.20939,0.468283,0.153992,0.119616,0.232621,-0.216733,-0.161183,0
0.248135,-0.274074,-0.521979,0.013224,0.384899,-0.397628,-0.169365,-0.119631,0.045156,-0.385944,-0.365901,-0.119309,-0.115127,-0.365327,-0.009437,0
-0.257653,-0.485877,-0.227421,0.372025,-0.014689,-0.356755,0.157138,0.077218,0.087555,0.052145,0.018671,-0.126624,-0.339398,-0.359853,0.033913,1
-0.205335,-0.45141,-0.246014,0.328354,0.020103,-0.348882,0.219214,-0.241024,0.332323,-0.217626,0.219801,0.50493,0.408002,-1.935047,-0.678617,0
0.345738,-0.167579,-0.512736,-0.089364,0.429431,-0.340727,-0.050523,-0.153193,-0.065862,-0.074381,0.121316,-0.191617,-0.824154,-0.397588,-0.389679,0
0.037954,-0.313103,-0.35056,0.137023,0.194258,-0.331579,0.321088,0.290552,0.279662,0.128144,0.088103,0.187582,-0.168469,-0.295657,0.043388,1
-0.052186,-0.355149,-0.303024,0.203387,0.125482,-0.329354,0.086118,-0.036281,0.004561,-0.018293,-0.056395,-0.034887,-0.059261,-0.170621,0.025431,0
0.100208,-0.260199,-0.359865,0.079603,0.230313,-0.310023,0.242821,0.369559,0.705875,0.593997,0.583895,0.489166,0.160501,-0.53779,-0.144045,1
0.451358,-0.071366,-0.522847,-0.189772,0.487284,-0.297407,-0.086443,-0.012328,-0.380386,-0.013047,-0.396922,-0.56873,0.010287,-0.12792,0.212869,0
0.313766,-0.136216,-0.44996,-0.089051,0.381888,-0.292863,1.272048,1.003613,1.115813,1.018644,1.104125,0.735548,-0.08717,-0.592423,0.19368,1
-0.597582,-0.585097,0.011884,0.591352,-0.305003,-0.286123,0.008334,-0.170028,-0.1736,-0.123793,-0.191804,-0.025402,-0.007075,-0.975459,0.044814,1
-0.37787,-0.474034,-0.095768,0.425723,-0.141147,-0.284948,-0.327001,-0.238135,-0.311206,-0.436109,-0.339771,-0.176107,-0.058426,-0.170411,0.414855,1
0.221859,-0.171337,-0.394063,-0.024765,0.307728,-0.282775,0.357532,0.052627,0.192119,0.353266,-0.060381,-0.130251,0.084012,0.015712,0.376309,0
-0.058004,-0.298405,-0.240204,0.178393,0.090772,-0.269585,-0.009969,0.226699,-0.064302,-0.024473,0.047374,-0.068795,-0.010028,-0.029024,0.067874,0
0.07942,-0.227932,-0.307575,0.074455,0.193512,-0.267812,-0.295673,-0.284575,-0.018169,-0.09835,-0.049485,0.060112,0.073307,0.011595,-0.071679,1
0.768849,0.120893,-0.64791,-0.445052,0.708171,-0.263522,-0.748048,0.555642,-0.718169,0.206266,-0.414793,0.383047,0.030816,0.16773,0.285615,0
-0.063324,-0.291003,-0.227317,0.176918,0.082435,-0.258869,0.325037,0.234039,0.143234,0.260149,0.266816,0.264262,0.177538,-0.200369,-0.10629,1
-0.419853,-0.469055,-0.048495,0.444541,-0.186045,-0.25853,0.927573,0.81122,-1.083043,-0.782726,1.217078,1.353439,0.410896,-1.563363,0.954557,1
-0.625926,-0.547568,0.078314,0.586748,-0.352091,-0.234215,0.54831,0.294596,0.61509,0.65525,0.436201,0.480695,0.01645,-0.358599,0.274865,1
0.164925,-0.146235,-0.311198,-0.009222,0.238103,-0.228751,-0.000947,-0.133126,0.021644,-0.249909,0.02744,-0.076074,-0.046005,-0.004876,-0.134791,0
0.690736,0.133695,-0.556907,-0.411901,0.623582,-0.211621,-0.159808,-0.284703,-0.099039,0.262474,-0.153354,-0.141282,-0.142037,0.094577,0.000968,0
-0.020754,-0.216493,-0.195776,0.118623,0.087915,-0.206113,-0.110391,-0.147147,-0.173697,-0.09453,-0.150515,0.06455,-0.110052,0.111639,0.064526,1
-0.029859,-0.21171,-0.181333,0.120543,0.075983,-0.196516,-0.074421,-0.03748,-0.029605,-0.08029,-0.163302,-0.087824,-0.159159,-0.168935,0.033841,1
0.039515,-0.175186,-0.214728,0.067579,0.127397,-0.194953,-0.168173,0.190877,0.240108,0.07838,0.073773,0.162181,-0.155471,-0.221853,0.080155,0
-0.052096,-0.191949,-0.13974,0.122028,0.043637,-0.165805,0.353964,0.141944,0.220841,-0.080652,-0.66097,-0.480955,0.153653,-0.234803,0.213439,1
0.512311,0.092912,-0.420045,-0.302107,0.465987,-0.163571,-0.531472,-0.214505,-0.286731,-0.072453,1.64635,3.319959,0.241438,0.62932,0.554623,1
0.479645,0.078867,-0.401262,-0.279013,0.440704,-0.161316,0.550252,0.489058,0.556837,0.444681,0.43123,0.306252,-0.225631,-0.411814,-0.068438,1
-0.106111,-0.209321,-0.103208,0.157701,-0.001196,-0.156511,0.039637,0.036782,0.05727,0.055626,0.010462,0.018378,-0.020198,0.01354,-0.013546,1
-0.105203,-0.204821,-0.099648,0.155015,-0.002938,-0.152489,0.079161,0.085719,0.051156,0.049083,0.163542,0.04087,-0.090698,-0.408913,-0.075028,1
0.232019,-0.03607,-0.267766,-0.098022,0.249966,-0.151681,0.019938,0.286973,0.060584,-0.092504,-0.134684,-0.108494,-0.116719,-0.31605,0.074493,1
-0.111503,-0.195566,-0.084293,0.153407,-0.013347,-0.140025,-0.037763,0.051928,-0.129216,0.287538,-0.179025,-0.264163,-0.302796,-0.114586,0.354383,1
-0.180072,-0.228029,-0.047251,0.204259,-0.06641,-0.137715,0.124821,0.2257,0.204808,0.0424,-0.10689,0.082282,0.112458,-0.041627,0.03826,0
-0.350524,-0.30774,0.043256,0.328619,-0.196869,-0.132244,-0.042272,0.00069,-0.024954,0.04621,0.00868,0.150713,0.446269,-0.332134,0.180409,1
-0.175132,-0.194927,-0.019862,0.184765,-0.07752,-0.107881,-0.819538,-0.743183,-0.669112,-0.292028,-0.81835,-0.730097,-0.487813,0.142022,-0.176894,1
-0.056923,-0.128589,-0.071686,0.09276,0.007649,-0.100381,0.082971,0.263823,0.105748,0.100382,0.21292,0.04883,-0.156527,-0.101735,-0.07066,1
0.123341,-0.034649,-0.158208,-0.043877,0.140548,-0.096476,0.129665,0.013186,-0.007141,0.078201,0.014839,-0.012566,0.1406,-0.360624,-0.077122,0
-0.181076,-0.179506,0.001101,0.18032,-0.090818,-0.089202,0.092112,-0.011886,0.062021,-0.006843,-0.004325,-0.085403,-0.03256,0.097718,0.111974,0
0.353831,0.09778,-0.256098,-0.22557,0.304936,-0.079445,-0.12745,-0.060819,0.008661,-0.091447,0.157916,0.1165,0.027606,-0.029316,-0.196272,1
0.38676,0.1175,-0.269273,-0.252357,0.328221,-0.075913,0.186193,0.16752,0.316137,0.236661,0.139899,0.073314,-0.043243,0.030972,-0.052882,1
0.106579,-0.012463,-0.119016,-0.047303,0.112814,-0.065991,-0.083169,-0.023262,-0.093184,0.030182,0.058169,0.017719,0.103141,0.094904,0.101326,0
-0.370395,-0.244748,0.125655,0.307601,-0.248003,-0.059297,-0.133444,0.013346,0.008677,0.047764,0.028486,-0.189599,-0.025214,0.015215,0.026963,0
-0.421936,-0.261047,0.161297,0.341421,-0.291128,-0.050198,0.018694,-0.184633,-0.231451,-0.137439,0.044281,-0.194837,0.041288,0.210411,0.219043,1
0.095879,-0.001121,-0.097499,-0.047379,0.096692,-0.049303,-0.035599,0.01107,0.011241,-0.079931,-0.013344,0.230755,-0.010304,-1.801298,-0.066078,0
0.006026,-0.017269,-0.023224,0.005594,0.01487,-0.020464,0.085134,0.030735,0.128297,-0.061564,-0.065958,0.058479,-0.042161,-0.15082,0.01592,0
-0.07097,-0.044479,0.026398,0.057731,-0.048477,-0.009242,-0.058625,-0.062836,-0.035093,-0.074459,-0.09876,-0.115873,-0.089753,-0.042494,-0.063648,0
0.210185,0.096584,-0.113248,-0.153396,0.161901,-0.008527,0.177609,0.207451,-0.005239,0.006742,0.005226,-0.091135,-0.165822,-0.008297,-0.012644,1
-0.121973,-0.054081,0.068265,0.088033,-0.095153,0.006867,-0.179956,0.010214,-0.22688,0.330951,-0.039794,-0.020355,0.052651,-0.126072,0.143354,1
-0.073794,-0.012486,0.06129,0.043192,-0.067813,0.024677,0.166074,-0.040556,0.240746,0.255902,0.394118,0.144782,0.147984,-0.065566,-0.132244,0
0.888165,0.47589,-0.412191,-0.682017,0.650476,0.031558,0.535093,0.092183,0.11094,0.336786,0.484237,-0.042242,-0.007327,-0.175464,-0.152901,0
0.154584,0.112867,-0.041652,-0.133729,0.097872,0.035743,0.409609,-0.017008,0.15521,0.012547,-0.132318,-0.235749,-0.093984,-0.074433,0.001031,0
-1.505845,-0.709109,0.796209,1.107759,-1.150547,0.043305,-1.070563,-1.146062,-1.038891,-1.083872,-1.042427,-1.155412,-0.111245,0.49954,0.132672,1
-0.180649,-0.045878,0.134474,0.113511,-0.15724,0.04463,-0.103494,-0.053795,-0.081126,-0.094262,-0.09487,-0.004797,-0.039908,0.022495,0.095449,1
-0.170017,-0.027689,0.142539,0.098555,-0.156281,0.05734,0.068821,0.162013,0.241069,0.275325,0.270664,0.263787,0.16815,0.170493,0.10911,1
0.203876,0.167852,-0.035389,-0.185867,0.119702,0.066156,0.274423,0.291941,0.182466,0.221375,0.147447,0.234138,-0.08596,-0.284251,-0.011403,1
0.185225,0.166363,-0.01894,-0.175618,0.102376,0.073712,-0.068701,0.110847,0.102269,0.083779,0.139518,-0.04653,0.175023,-0.159368,-0.147613,0
-0.131708,0.01137,0.142876,0.060413,-0.136795,0.077215,0.226841,0.113373,0.024422,-0.357222,0.235487,0.253877,0.16754,-0.516516,0.045209,1
-0.467632,-0.148351,0.319938,0.308319,-0.393816,0.085805,0.541364,0.869607,0.590015,0.524892,0.197239,0.659699,0.189958,1.368111,0.270988,0
-0.016127,0.090345,0.106478,-0.036858,-0.061555,0.0984,0.196669,0.011868,0.052953,0.088098,0.241447,0.105527,0.044066,0.002976,-0.042781,0
-1.049168,-0.411565,0.637191,0.730307,-0.843697,0.113288,-0.212328,-0.291859,0.450984,0.138719,0.023365,-0.062745,0.196209,0.368981,0.608758,0
0.173849,0.204474,0.03064,-0.189162,0.071593,0.117562,-0.082582,0.097819,0.027924,0.146081,0.105731,0.16199,0.234256,-0.143541,0.049958,0
-0.365756,-0.065036,0.301415,0.21591,-0.333553,0.118069,0.622835,0.504206,0.035521,0.505385,0.219659,0.306054,-0.23464,0.05708,-0.05435,1
0.250432,0.245186,-0.005243,-0.248063,0.127595,0.119983,0.250538,0.139645,0.355331,0.367063,0.308154,0.254122,-0.007959,-0.264475,-0.050902,0
-0.237548,0.001103,0.23907,0.117972,-0.238243,0.120117,0.252665,0.250481,-0.014126,0.250161,0.316646,0.280577,-0.12415,0.038994,-0.192566,0
-0.707877,-0.231107,0.477257,0.469475,-0.59256,0.122675,-0.080276,-0.023288,0.048797,0.077689,-0.135808,-0.171825,-0.130474,0.133035,-0.317153,1
0.002831,0.126079,0.123772,-0.064213,-0.060729,0.124538,0.008592,0.168277,0.083136,0.228227,0.186942,0.072218,0.071458,0.12283,-0.097634,1
0.036721,0.143999,0.107035,-0.090367,-0.035534,0.125893,-0.102954,0.169677,0.081743,0.212973,0.076211,0.64726,0.364975,0.301549,0.142006,0
0.283439,0.269442,-0.013745,-0.276501,0.14863,0.127591,-0.448773,-0.200357,-0.077205,-0.255605,-0.103427,-0.129575,-0.047587,-0.125966,-0.092762,0
0.016905,0.145389,0.12848,-0.081397,-0.055536,0.136478,-0.037977,-0.081809,-0.095917,-0.029387,0.035586,-0.018507,0.083979,0.162891,-0.03813,1
-0.181934,0.04881,0.230603,0.06631,-0.206302,0.139743,0.063818,0.180164,-0.009833,-0.173946,-0.122029,-0.013789,0.040144,0.205825,0.079252,0
0.00582,0.162771,0.156606,-0.084299,-0.075582,0.159821,0.194942,0.194001,0.139022,0.15093,0.157877,0.063617,0.098192,0.031901,0.024534,1
0.016823,0.171215,0.154405,-0.094021,-0.068814,0.162798,0.023337,-0.038149,0.019151,0.092696,0.122469,-0.004184,-0.003045,0.07953,0.112074,0
-4.200571,-1.936283,2.264058,3.068728,-3.232066,0.16369,-1.432414,-1.694969,-1.280549,-1.431185,-1.609871,-1.427605,0.193011,0.52584,-0.172715,1
-0.073412,0.13799,0.211385,-0.032038,-0.142213,0.174694,0.022523,-0.038972,0.013479,-0.002522,0.031568,0.084635,-0.289153,0.226026,0.111104,0
-0.526276,-0.081156,0.445625,0.303644,-0.485922,0.182296,0.097762,0.196239,0.304176,0.212842,0.053416,0.252831,0.105098,0.034265,-0.03788,1
0.145678,0.260907,0.115253,-0.203546,0.014955,0.188067,0.136519,-0.009673,0.043585,-0.009095,-0.023496,0.025414,-0.101167,0.078465,0.095915,1
0.231242,0.344463,0.113221,-0.28789,0.058993,0.228842,0.166384,0.061054,0.121447,0.157932,0.096287,0.207536,-0.051334,0.454282,0.131857,1
-0.163361,0.149729,0.312698,0.006569,-0.238042,0.231215,0.100283,0.295993,0.28693,0.297394,0.284519,0.473182,0.32673,0.23399,0.226169,1
-0.140771,0.207098,0.348099,-0.033254,-0.24457,0.277835,-0.745278,0.314685,1.23076,0.256726,0.06408,0.316423,-0.081494,0.23037,0.229303,0
-0.152036,0.203277,0.355261,-0.025619,-0.253189,0.279248,0.025157,-0.139579,0.015539,0.021168,-0.074303,0.012822,-0.055665,-0.049544,0.016345,0
0.099177,0.337482,0.238805,-0.218584,-0.070097,0.288147,-0.043029,0.001438,0.043566,0.152636,-0.05315,-0.17401,-0.129102,0.134248,0.006534,0
0.132796,0.371214,0.238169,-0.252122,-0.052515,0.304677,-0.770815,-0.390059,-0.034362,-0.800914,2.144901,0.810593,0.126931,0.8055,0.834659,1
-0.037951,0.296372,0.33416,-0.129232,-0.185897,0.315588,0.260976,0.111622,0.178063,0.24666,0.018157,0.138405,-0.055092,0.003683,0.116715,1
-0.106464,0.272268,0.378665,-0.082918,-0.242101,0.325498,0.18617,0.298328,0.353404,0.148078,0.189244,-0.032844,0.173435,0.247068,-0.139286,0
0.00643,0.332011,0.325565,-0.169236,-0.159346,0.328562,0.086463,0.109374,0.347363,0.033507,0.260912,0.344533,-0.009481,0.006399,0.063115,1
0.314465,0.542884,0.228501,-0.428685,0.042583,0.385965,-0.106299,-0.015762,0.080664,0.092776,0.163879,0.079045,-0.161411,0.013333,0.033076,1
-0.032332,0.387722,0.420064,-0.177724,-0.226042,0.404141,-0.045673,-0.232214,-0.1872,0.28313,0.043477,-0.046628,-0.116049,0.302806,0.041242,1
0.462159,0.637551,0.175807,-0.549894,0.143223,0.406661,0.179673,-0.040797,0.478825,0.243243,-0.179553,-0.069991,-0.077412,0.289888,-0.148419,1
-0.702495,0.083575,0.786046,0.309405,-0.74405,0.435042,-0.256224,-0.325644,0.864694,1.410863,-0.287321,-0.028065,0.294114,0.820381,0.750204,0
-0.135089,0.419699,0.554765,-0.141832,-0.345137,0.486966,0.423698,0.015198,0.509225,0.249352,0.287917,0.45242,0.135937,-0.216069,0.187393,0
0.199712,0.683833,0.483625,-0.441267,-0.141735,0.583484,0.755104,0.811523,0.803832,0.936211,0.875733,0.646616,0.265678,-0.181389,-0.006803,1
0.297712,0.736679,0.438945,-0.517062,-0.070646,0.588361,0.877661,0.483191,0.562394,2.823445,0.569092,0.170575,-0.015983,0.200378,0.288962,0
1.383852,1.329703,-0.054174,-1.35702,0.719011,0.637531,0.97513,0.460105,0.447788,0.678085,0.563566,-1.508443,-1.118922,-0.008679,-0.507745,0
-0.136987,0.674047,0.811034,-0.268539,-0.473723,0.74254,0.141314,0.110049,0.066328,-0.05419,-0.007954,-0.123934,-0.137173,0.309974,0.010436,1
-0.10223,0.737031,0.839214,-0.317154,-0.47056,0.788029,-0.048307,0.033904,0.011745,0.009022,-0.142393,0.155603,-0.335684,0.64744,-0.120455,1
-0.27257,0.686379,0.959472,-0.206567,-0.615957,0.822861,0.091669,-0.496773,0.233179,0.122471,0.467129,-0.572116,-0.012091,0.268678,0.056393,0
0.020501,1.000668,0.980196,-0.510314,-0.479946,0.990451,0.318493,0.070546,0.019104,0.050057,-0.043308,-0.111801,-0.255876,0.318425,0.159826,1
2.098455,2.050151,-0.048104,-2.074199,1.073696,1.000556,3.462907,3.993108,4.249173,3.602534,3.040571,3.305765,2.298486,-2.057883,0.848292,1
0.329499,1.308494,0.97902,-0.818713,-0.324749,1.143516,-0.110516,-0.260727,-0.068475,-0.02187,0.073328,-0.160107,0.074833,0.733369,-0.113649,1
1.036945,1.791488,0.754979,-1.414377,0.140668,1.273502,-0.423807,-0.152505,-0.155099,0.058124,0.120664,-0.066276,0.376128,0.646053,-0.166164,0
0.733957,1.894543,1.160211,-1.314224,-0.213127,1.527768,-0.357438,-0.40618,0.241905,0.78093,-0.063024,0.803944,1.206474,-1.481712,0.720938,1
-0.309412,1.499444,1.808543,-0.595067,-1.058758,1.653968,-0.403053,-0.671769,-0.560678,-0.467755,-0.728244,-0.368044,-0.451772,0.834043,-0.013476,1
-1.09422,1.170284,2.264984,-0.038004,-1.67959,1.717628,-1.467218,-1.282787,-1.392534,-1.635467,-1.565485,-1.409717,-0.177013,1.605749,0.106321,0
0.108486,2.100195,1.991264,-1.104599,-0.941125,2.045994,-0.641783,-0.665305,-0.518521,-0.61891,-0.696566,-0.629109,-0.083141,1.09721,0.083118,1
-2.252763,1.629022,3.882229,0.311837,-3.067708,2.755877,-2.048941,-2.419003,-2.201279,-2.280855,-2.067499,-2.004561,-1.106759,2.724088,-0.388621,1
-1.175218,2.907319,4.082312,-0.866045,-2.628653,3.49515,-1.4147,-1.871021,-1.670067,-1.850395,-1.331783,-2.024883,0.084008,2.800687,0.310792,1
1.519991,4.569665,3.049202,-3.044582,-0.764036,3.809393,-1.843271,-1.650466,0.150424,-1.625446,-0.041892,-1.668631,-0.340118,3.222361,0.543221,1
-1.150789,-5.460255,-4.307949,3.305307,1.578908,-4.883412,2.408009,2.127237,2.168215,1.787087,1.886815,1.796243,0.213165,-2.778251,-0.06932,0
-1.140799,-5.460355,-4.308959,3.304307,1.578918,-4.884402,2.418009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
-2.250784,-4.035573,-1.7747,3.143287,-0.223146,-2.909891,-0.791112,-1.570219,-0.451198,0.416679,-0.162131,1.14075,0.110887,-0.910229,0.455595,1
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.908891,-0.791132,-1.571219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
